ID, Result
102833_rs, 99.17
102926_rs, 1.18
103024_rs, 6.14
103061_rs, 1.2
202833_rs, 3.33
202926_rs, 1.2
203024_rs, 84.95
203061_rs, 0.0
203080_rs, 100.0
203292_rs, 0.91
